,Year-Semester,Conformant GPA,Non-Conformant GPA
0,2017 Autumn,7.93778801843318,7.25343878954608
1,2017 Other,9.419001218026796,8.219730941704036
2,2018 Autumn,7.594025797691786,7.636671883150757
3,2018 Other,7.86543865126444,7.444577080491133
4,2018 Spring,7.933262991295173,7.586818333890934
5,2019 Autumn,7.173540856031129,7.606472052500566
6,2019 Other,7.53714859437751,7.396051450792701
7,2019 Spring,7.387331634510375,7.581731762760901
8,2020 Autumn,7.643518518518518,7.954698362861628
9,2020 Other,7.51215953307393,7.487218460688131
10,2020 Spring,7.694365192582025,7.853051058530511
11,2021 Autumn,6.991044776119403,7.700770077007701
12,2021 Other,7.5171903881700555,7.729970902036857
13,2021 Spring,7.563046937151949,7.856022023399863
